customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,CustomerRating,MonthlyCharges,TotalCharges,Churn
759122-VHVEG,Female,122,1,0,1,0,0 phone service,DSL,0,1,0,0,0,0,3,1,3,29.85,29.85,0
5575-GNVDE,Male,122,0,0,34,1,0,DSL,1,0,1,0,0,0,12,0,4,56.95,1889.5,0
3668-QPYBK,Male,122,0,0,2,1,0,DSL,1,1,0,0,0,0,3,1,4,53.85,11228.15,1
7795-CFOCW,Male,122,0,0,45,0,0 phone service,DSL,1,0,1,1,0,0,12,0,5,42.3,184122.75,0
9237-HQITU,Female,122,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,3,1,3,7122.7,151.65,1
931225-CDSKC,Female,122,0,0,8,1,1,Fiber optic,0,0,1,0,1,1,3,1,3,99.65,82122.5,1
1452-KIOVK,Male,122,0,1,22,1,1,Fiber optic,0,1,0,0,1,0,3,1,2,89.1,1949.4,0
6713-OKOMC,Female,122,0,0,1122,0,0 phone service,DSL,1,0,0,0,0,0,3,0,4,29.75,31221.9,0
7892-POOKP,Female,122,1,0,28,1,1,Fiber optic,0,0,1,1,1,1,3,1,3,11224.8,312246.1225,1
6388-TABGU,Male,122,0,1,62,1,0,DSL,1,1,0,0,0,0,12,0,5,56.15,3487.95,0
9763-GRSKD,Male,122,1,1,13,1,0,DSL,1,0,0,0,0,0,3,1,4,49.95,587.45,0
7469-LKBCI,Male,122,0,0,16,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,24,0,2,18.95,326.8,0
812291-TTVAX,Male,122,1,0,58,1,1,Fiber optic,0,0,1,0,1,1,12,0,2,1122122.35,5681.1,0
12228122-XJGEX,Male,122,0,0,49,1,1,Fiber optic,0,1,1,0,1,1,3,1,5,11223.7,512236.3,1
5129-JLPIS,Male,122,0,0,25,1,0,Fiber optic,1,0,1,1,1,1,3,1,3,11225.5,2686.1225,0
3655-SNQYZ,Female,122,1,1,69,1,1,Fiber optic,1,1,1,1,1,1,24,0,2,113.25,7895.15,0
8191-XWSZG,Female,122,0,0,52,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,4,2122.65,112222.95,0
9959-WOFKT,Male,122,0,1,71,1,1,Fiber optic,1,0,1,0,1,1,24,0,5,11226.7,7382.25,0
419122-MFLUW,Female,122,1,1,1122,1,0,DSL,0,0,1,1,0,0,3,0,2,55.2,528.35,1
4183-MYFRB,Female,122,0,0,21,1,0,Fiber optic,0,1,1,0,0,1,3,1,3,9122.1225,1862.9,0
8779-QRDMV,Male,1,0,0,1,0,0 phone service,DSL,0,0,1,0,0,1,3,1,3,39.65,39.65,1
168122-VDCWW,Male,122,1,0,12,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,5,19.8,21222.25,0
112266-JKSGK,Male,122,0,0,1,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,4,2122.15,2122.15,1
3638-WEABW,Female,122,1,0,58,1,1,DSL,0,1,0,1,0,0,24,1,2,59.9,351225.1,0
6322-HRPFA,Male,122,1,1,49,1,0,DSL,1,1,0,1,0,0,3,0,2,59.6,297122.3,0
6865-JZNKO,Female,122,0,0,3122,1,0,DSL,1,1,0,0,0,0,3,1,5,55.3,153122.6,0
6467-CHFZW,Male,122,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,3,1,3,99.35,4749.15,1
8665-UTDHZ,Male,122,1,1,1,0,0 phone service,DSL,0,1,0,0,0,0,3,0,3,3122.2,3122.2,1
5248-YGIJN,Male,122,1,0,72,1,1,DSL,1,1,1,1,1,1,24,1,2,9122.25,6369.45,0
8773-HHUOZ,Female,122,0,1,17,1,0,DSL,0,0,0,0,1,1,3,1,4,64.7,112293.1,1
3841-NFECX,Female,1,1,0,71,1,1,Fiber optic,1,1,1,1,0,0,24,1,2,96.35,6766.95,0
4929-XIHVW,Male,1,1,0,2,1,0,Fiber optic,0,0,1,0,1,1,3,1,2,95.5,181.65,0
6827-IEAUQ,Female,122,1,1,27,1,0,DSL,1,1,1,1,0,0,12,0,4,66.15,1874.45,0
731122-EGVHZ,Male,122,0,0,1,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,3,0,5,2122.2,2122.2,0
3413-BMNZE,Male,1,0,0,1,1,0,DSL,0,0,0,0,0,0,3,0,5,45.25,45.25,0
6234-RAAPL,Female,122,1,1,72,1,1,Fiber optic,1,1,0,1,1,0,24,0,5,99.9,7251.7,0
612247-YHPVI,Male,122,0,0,5,1,0,Fiber optic,0,0,0,0,0,0,3,1,3,69.7,316.9,1
6572-ADKRS,Female,122,0,0,46,1,0,Fiber optic,0,0,1,0,0,0,3,1,2,74.8,3548.3,0
538122-WJKOV,Male,122,0,0,34,1,1,Fiber optic,0,1,1,0,1,1,3,1,3,11226.35,3549.25,1
8168-UQWWF,Female,122,0,0,11,1,1,Fiber optic,0,0,1,0,1,1,3,1,5,97.85,111225.4,1
8865-TNMNX,Male,122,1,1,1122,1,0,DSL,0,1,0,0,0,0,12,0,4,49.55,475.7,0
9489-DEDVP,Female,122,1,1,7122,1,1,DSL,1,1,0,0,1,0,24,1,2,69.2,4872.35,0
9867-JCZSP,Female,122,1,1,17,1,0,0,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,0 internet service,12,0,4,2122.75,418.25,0
4671-VJLCL,Female,122,0,0,63,1,1,DSL,1,1,1,1,1,0,24,1,2,79.85,4861.45,0
41228122-IIARD,Female,122,1,0,13,1,1,DSL,1,1,0,1,1,0,3,1,3,76.2,981.45,0
3714-NTNFO,Female,122,0,0,49,1,1,Fiber optic,0,0,0,0,0,1,3,1,3,84.5,391226.7,0
5948-UJZLF,Male,122,0,0,2,1,0,DSL,0,1,0,0,0,0,3,0,4,49.25,97,0
776122-OYPDY,Female,122,0,0,2,1,0,Fiber optic,0,0,0,0,1,0,3,1,3,8122.65,144.15,1
7639-LIAYI,Male,122,0,0,52,1,1,DSL,1,0,0,1,1,1,24,1,2,79.75,4217.8,0
2954-PIBKO,Female,122,1,1,69,1,1,DSL,1,0,1,1,0,0,24,1,2,64.15,4254.1,0
812212-SOUDQ,Female,1,0,0,43,1,1,Fiber optic,0,1,0,0,1,0,3,1,3,9122.25,3838.75,0
942122-LOJKX,Female,122,0,0,15,1,0,Fiber optic,1,1,0,0,1,1,3,1,2,99.1,1426.4,1
6575-SUVOI,Female,1,1,0,25,1,1,DSL,1,0,0,1,1,0,3,1,2,69.5,1752.65,0
7495-OOKFY,Female,1,1,0,8,1,1,Fiber optic,0,1,0,0,0,0,3,1,2,8122.65,633.3,1
4667-QONEA,Female,1,1,1,6122,1,0,DSL,1,1,1,1,0,1,12,1,2,74.85,4456.35,0
1658-BYGOY,Male,1,0,0,18,1,1,Fiber optic,0,0,0,0,1,1,3,1,3,95.45,1752.55,1
8769-KKTPH,Female,122,1,1,63,1,1,Fiber optic,1,0,0,0,1,1,12,1,2,99.65,6311.2,0
